Question_ID,Option_Code,Option_Value_Numeric,Option_Label_EN,Option_Label_HI,Option_Order,Direct_Score_0_100,Confidence_Modifier,Triggers_Verification,Triggers_Follow_Up,Follow_Up_Question_ID,Icon,Is_Active,Notes,Derives_Signal_Key,Derives_Signal_Value,Triggers_Probe,Probe_ID,Is_Other,Option_Category
ADV_D1_001,RICE,,Rice,चावल,1,100,1,FALSE,FALSE,,✅,TRUE,Waterlogged rice crop (AWD applicable),CROP_SELECTED,RICE,FALSE,,FALSE,HIGH
ADV_D1_001,OTHERS,,Other crops (not rice),अन्य फसलें (चावल नहीं),2,0,1,FALSE,FALSE,,❌,TRUE,AWD not applicable; continue other pathways,CROP_SELECTED,OTHERS,FALSE,,FALSE,LOW
ADV_D1_002,CLAY,,"Heavy clay (very sticky when wet, hard clods when dry)","भारी मिट्टी (गीली होने पर बहुत चिपचिपी, सूखने पर कठोर ढेले)",1,95,0.8,FALSE,FALSE,,🟫,TRUE,Best for AWD water retention,SOIL_TEXTURE_SIGNAL,HEAVY_CLAY,FALSE,,FALSE,HIGH
ADV_D1_002,CLAY_LOAM,,"Clay loam (somewhat sticky, holds shape)","मिट्टी दोमट (कुछ चिपचिपा, आकार रखता है)",2,90,0.8,FALSE,FALSE,,🟤,TRUE,Very good for AWD,SOIL_TEXTURE_SIGNAL,CLAY_LOAM,FALSE,,FALSE,HIGH
ADV_D1_002,LOAM,,"Loam (balanced, crumbly)","दोमट (संतुलित, भुरभुरा)",3,75,0.8,FALSE,FALSE,,🟡,TRUE,Good for AWD,SOIL_TEXTURE_SIGNAL,LOAM,FALSE,,FALSE,HIGH
ADV_D1_002,SANDY_LOAM,,"Sandy loam (slightly gritty, loose)","रेतीली दोमट (थोड़ी दानेदार, ढीली)",4,55,0.8,FALSE,FALSE,,🟠,TRUE,Moderate for AWD,SOIL_TEXTURE_SIGNAL,SANDY_LOAM,FALSE,,FALSE,MEDIUM
ADV_D1_002,SAND,,"Sandy (very gritty, won't hold shape or water)","रेतीली (बहुत दानेदार, आकार या पानी नहीं रखती)",5,30,0.8,FALSE,FALSE,,⚪,TRUE,Poor for AWD - high seepage,SOIL_TEXTURE_SIGNAL,SANDY,FALSE,,FALSE,LOW
ADV_D1_003,DRAIN_1HR,,Less than 1 hour,1 घंटे से कम,1,40,0.75,FALSE,FALSE,,💨,TRUE,Too fast drainage,DRAINAGE_SIGNAL,VERY_FAST,FALSE,,FALSE,MEDIUM
ADV_D1_003,DRAIN_1_6HR,,1 to 6 hours,1 से 6 घंटे,2,70,0.75,FALSE,FALSE,,⏱️,TRUE,Good drainage,DRAINAGE_SIGNAL,MODERATE,FALSE,,FALSE,MEDIUM
ADV_D1_003,DRAIN_6_24HR,,6 to 24 hours,6 से 24 घंटे,3,85,0.75,FALSE,FALSE,,⏰,TRUE,Very good for AWD,DRAINAGE_SIGNAL,GOOD,FALSE,,FALSE,HIGH
ADV_D1_003,DRAIN_1_2DAY,,1 to 2 days,1 से 2 दिन,4,95,0.75,FALSE,FALSE,,📅,TRUE,Excellent water retention,DRAINAGE_SIGNAL,EXCELLENT,FALSE,,FALSE,HIGH
ADV_D1_003,DRAIN_2PLUS,,More than 2 days,2 दिनों से अधिक,5,75,0.75,FALSE,FALSE,,🌊,TRUE,May need drainage improvement,DRAINAGE_SIGNAL,POOR,FALSE,,FALSE,HIGH
ADV_D1_004,FLAT,,Flat (less than 0.5% slope),समतल (0.5% से कम ढलान),1,100,0.85,FALSE,FALSE,,➡️,TRUE,Ideal for AWD,SLOPE_CLASS,FLAT,FALSE,,FALSE,HIGH
