Rule_ID,Is_Active,Priority,Dimension_ID,When_Question_ID,When_Operator,When_Value,When_Numeric_Min,When_Numeric_Max,Then_Signal_Key,Then_Signal_Value,Then_Signal_Score,Confidence_0_1,Composite_Logic,Notes
ADVR_D1_001,TRUE,10,D1,ADV_D1_002,EQUALS,CLAY,,,SOIL_TEXTURE_SIGNAL,HEAVY_CLAY,0.95,0.9,,Best water retention for AWD
ADVR_D1_002,TRUE,10,D1,ADV_D1_002,EQUALS,CLAY_LOAM,,,SOIL_TEXTURE_SIGNAL,CLAY_LOAM,0.9,0.85,,Very good for AWD
ADVR_D1_003,TRUE,10,D1,ADV_D1_002,EQUALS,LOAM,,,SOIL_TEXTURE_SIGNAL,LOAM,0.75,0.8,,Good for AWD
ADVR_D1_004,TRUE,10,D1,ADV_D1_002,EQUALS,SANDY_LOAM,,,SOIL_TEXTURE_SIGNAL,SANDY_LOAM,0.55,0.75,,Moderate - check seepage
ADVR_D1_005,TRUE,10,D1,ADV_D1_002,EQUALS,SAND,,,SOIL_TEXTURE_SIGNAL,SANDY,0.3,0.85,,Poor - high seepage risk
ADVR_D1_006,TRUE,9,D1,ADV_D1_003,EQUALS,DRAIN_1_2DAY,,,DRAINAGE_SIGNAL,EXCELLENT,0.95,0.85,,Ideal water holding
ADVR_D1_007,TRUE,9,D1,ADV_D1_003,EQUALS,DRAIN_6_24HR,,,DRAINAGE_SIGNAL,GOOD,0.85,0.85,,Good for AWD
ADVR_D1_008,TRUE,9,D1,ADV_D1_003,EQUALS,DRAIN_2PLUS,,,DRAINAGE_SIGNAL,POOR,0.75,0.8,,May waterlog - needs drainage
ADVR_D1_022,TRUE,9,D1,ADV_D1_003,EQUALS,DRAIN_1HR,,,DRAINAGE_SIGNAL,VERY_FAST,0.4,0.8,,Too fast drainage (high seepage) for AWD
ADVR_D1_023,TRUE,9,D1,ADV_D1_003,EQUALS,DRAIN_1_6HR,,,DRAINAGE_SIGNAL,MODERATE,0.7,0.8,,Acceptable drainage class for AWD
ADVR_D1_009,TRUE,10,D1,ADV_D1_006,EQUALS,YES,,,SOIL_TEST_AVAILABLE,YES,1,0.95,,Routing signal for soil test availability
ADVR_D1_010,TRUE,10,D1,ADV_D1_006,EQUALS,NO,,,SOIL_TEST_AVAILABLE,NO,1,0.95,,Routing signal for soil test availability
ADVR_D1_011,TRUE,10,D1,ADV_D1_004,GREATER_EQUAL,,1.5,,SOC_LEVEL,HIGH,0.9,0.95,,Measured SOC high
ADVR_D1_012,TRUE,10,D1,ADV_D1_004,BETWEEN,,0.75,1.5,SOC_LEVEL,MEDIUM,0.7,0.95,,Measured SOC medium
ADVR_D1_013,TRUE,10,D1,ADV_D1_004,LESS,,0.75,,SOC_LEVEL,LOW,0.45,0.95,,Measured SOC low
ADVR_D1_014,TRUE,8,D1,ADV_D1_009,EQUALS,DARK_BLACK,,,SOC_PROXY,HIGH,0.75,0.65,,Proxy SOC high (soil color)
ADVR_D1_015,TRUE,8,D1,ADV_D1_009,EQUALS,BROWN,,,SOC_PROXY,MEDIUM,0.55,0.65,,Proxy SOC medium (soil color)
