Question_ID,Dimension_ID,Dimension_Name,Sub_Factor,Sequence,Question_Text_EN,Question_Text_HI,Answer_Type,Unit,Help_Text_EN,Help_Text_HI,Verification_Method,Required_For_Pathway,Scoring_Impact,Default_Value,Validation_Rule,Photo_Required,Is_Active,Base_Priority,Version
ADV_D1_001,D1,Biophysical Suitability,crop_suitability,1,Which crop will you grow in this season?,आप इस मौसम में कौन सी फसल उगाएंगे?,categorical_direct,,Select crop,फसल का चयन करें,VISUAL_OBSERVATION,ALL,HIGH,,"crop IN (RICE,OTHERS)",FALSE,TRUE,100,v1.0
ADV_D1_002,D1,Biophysical Suitability,soil_texture,2,What is your soil texture? (Choose the closest match),आपकी मिट्टी की बनावट क्या है? (सबसे निकट मिलान चुनें),categorical_direct,,Observe dry soil: Clay is sticky when wet and hard when dry. Loam is crumbly. Sand is gritty and won't hold shape.,सूखी मिट्टी देखें: मिट्टी गीली होने पर चिपचिपी और सूखने पर कठोर होती है। दोमट भुरभुरी होती है। रेत दानेदार होती है।,VISUAL_OBSERVATION,ALL,HIGH,,"soil_texture IN (CLAY,CLAY_LOAM,LOAM,SANDY_LOAM,SAND)",FALSE,TRUE,95,v1.0
ADV_D1_003,D1,Biophysical Suitability,drainage_class,3,"After a heavy rain, how long does water typically stay in your field?",भारी बारिश के बाद आपके खेत में पानी आमतौर पर कितनी देर तक रहता है?,categorical_direct,hours,Observe after monsoon rains. Measure time from rain stop to no standing water visible.,मानसून की बारिश के बाद देखें। बारिश बंद होने से लेकर खड़े पानी दिखाई न देने तक का समय मापें।,VISUAL_OBSERVATION,ALL,HIGH,,"drainage_time IN (DRAIN_1HR,DRAIN_1_6HR,DRAIN_6_24HR,DRAIN_1_2DAY,DRAIN_2PLUS)",FALSE,TRUE,90,v1.0
ADV_D1_004,D1,Biophysical Suitability,field_slope,4,What is the approximate slope of your field?,आपके खेत का अनुमानित ढलान क्या है?,categorical_direct,%,Flat = water doesn't flow. Gentle = slow flow. Steep = rapid flow.,समतल = पानी नहीं बहता। मंद = धीमा प्रवाह। तीव्र = तेज प्रवाह।,VISUAL_OBSERVATION,ALL,MEDIUM,,"slope IN (FLAT,GENTLE,MODERATE,STEEP)",FALSE,TRUE,60,v1.0
ADV_D1_005,D1,Biophysical Suitability,waterlogging_prone,5,What percentage of your field has waterlogging (standing water) areas?,आपके खेत में जलभराव (खड़े पानी) वाले क्षेत्र का प्रतिशत क्या है?,categorical_direct,%,Areas where water stays even when rest of field is drained.,वे क्षेत्र जहाँ खेत के बाकी हिस्से सूखने पर भी पानी रहता है।,VISUAL_OBSERVATION,AWD,MEDIUM,,"waterlog IN (NONE,LESS_10,PCT_10_25,PCT_25_50,MORE_50)",FALSE,TRUE,65,v1.0
ADV_D1_006,D1,Biophysical Suitability,soil_test_available,6,Do you have a soil test report from the last 3 years?,क्या आपके पास पिछले 3 वर्षों की मिट्टी परीक्षण रिपोर्ट है?,yes_no_conditional,,"If YES, we'll ask for specific values. If NO, we'll use proxy questions.","यदि हाँ, तो हम विशिष्ट मान पूछेंगे। यदि नहीं, तो हम अनुमानित प्रश्न पूछेंगे।",RECORDS,ALL,MEDIUM,,"yes_no IN (YES,NO)",TRUE,TRUE,75,v1.0
ADV_D1_007,D1,Biophysical Suitability,soc_measured,7,[If soil test available] What is the Soil Organic Carbon (%) from your report?,[यदि मिट्टी परीक्षण उपलब्ध है] रिपोर्ट से मृदा कार्बनिक कार्बन (%) क्या है?,numeric_direct,%,"Look for ""OC%"" or ""SOC%"" in your lab report. Usually between 0.2% to 2%.","अपनी लैब रिपोर्ट में ""OC%"" या ""SOC%"" देखें। आमतौर पर 0.2% से 2% के बीच।",LAB_TEST,ALL,HIGH,,soc_value >= 0 AND soc_value <= 10,TRUE,TRUE,85,v1.0
ADV_D1_008,D1,Biophysical Suitability,ph_measured,8,[If soil test available] What is the soil pH from your report?,[यदि मिट्टी परीक्षण उपलब्ध है] रिपोर्ट से मिट्टी का pH क्या है?,numeric_direct,,pH value between 4.5 (very acidic) to 9.5 (very alkaline). Most rice soils are 6-8.,4.5 (बहुत अम्लीय) से 9.5 (बहुत क्षारीय) के बीच pH मान। अधिकांश धान की मिट्टी 6-8 होती है।,LAB_TEST,ALL,MEDIUM,,ph_value >= 4.5 AND ph_value <= 9.5,TRUE,TRUE,70,v1.0
ADV_D1_009,D1,Biophysical Suitability,soil_color,9,[If no soil test] What color is the topsoil (0-15 cm depth)?,[यदि मिट्टी परीक्षण नहीं] ऊपरी मिट्टी (0-15 सेमी गहराई) का रंग क्या है?,categorical_direct,,Observe in daylight. Darker colors usually indicate higher organic matter.,दिन की रोशनी में देखें। गहरे रंग आमतौर पर उच्च जैविक पदार्थ दर्शाते हैं।,VISUAL_OBSERVATION,ALL,MEDIUM,,"color IN (DARK_BLACK,BROWN,LIGHT_BROWN,GREY,RED)",FALSE,TRUE,65,v1.0
ADV_D1_010,D1,Biophysical Suitability,erw_alkaline_risk_proxy,10,Is your soil known to be alkaline (pH > 8.2)?,क्या आपकी मिट्टी क्षारीय (pH > 8.2) मानी जाती है?,categorical_direct,,"If you have lab pH, use that instead. High pH may reduce ERW benefit.",यदि आपके पास लैब pH है तो वही उपयोग करें। उच्च pH ERW लाभ घटा सकता है।,FARMER_KNOWLEDGE,ERW,MEDIUM,,"erw_alkaline_risk_proxy IN (YES_ALKALINE,NO,DONT_KNOW)",FALSE,TRUE,60,v1.0
