Map_ID,Is_Active,Signal_Key,Lite_Variable_Name,Mapping_Method,When_Signal_Value,Then_Lite_Class,Confidence_0_1,Estimate_Formula,Notes
ADVM_001,TRUE,SOIL_TEXTURE_SIGNAL,clay_fraction,DIRECT,HEAVY_CLAY,High,0.85,,Heavy clay => high clay fraction
ADVM_002,TRUE,SOIL_TEXTURE_SIGNAL,clay_fraction,DIRECT,CLAY_LOAM,Medium-High,0.85,,Clay loam => medium-high clay fraction
ADVM_003,TRUE,SOIL_TEXTURE_SIGNAL,clay_fraction,DIRECT,LOAM,Medium,0.8,,Loam => medium clay fraction
ADVM_004,TRUE,SOIL_TEXTURE_SIGNAL,clay_fraction,DIRECT,SANDY_LOAM,Low-Medium,0.75,,Sandy loam => low-medium clay fraction
ADVM_005,TRUE,SOIL_TEXTURE_SIGNAL,clay_fraction,DIRECT,SANDY,Low,0.8,,Sandy => low clay fraction
ADVM_006,TRUE,SOIL_TEXTURE_SIGNAL,sand_fraction,DIRECT,SANDY,High,0.85,,Sandy => high sand fraction
ADVM_007,TRUE,SOIL_TEXTURE_SIGNAL,sand_fraction,DIRECT,SANDY_LOAM,Medium-High,0.8,,Sandy loam => medium-high sand fraction
ADVM_008,TRUE,SOIL_TEXTURE_SIGNAL,sand_fraction,DIRECT,LOAM,Medium,0.8,,Loam => medium sand fraction
ADVM_009,TRUE,SOIL_TEXTURE_SIGNAL,sand_fraction,DIRECT,CLAY_LOAM,Low-Medium,0.75,,Clay loam => low-medium sand fraction
ADVM_010,TRUE,SOIL_TEXTURE_SIGNAL,sand_fraction,DIRECT,HEAVY_CLAY,Low,0.8,,Heavy clay => low sand fraction
ADVM_011,TRUE,DRAINAGE_SIGNAL,drainage_class,DIRECT,VERY_FAST,Very fast drained,0.8,,<1 hr drainage => very fast drained
ADVM_012,TRUE,DRAINAGE_SIGNAL,drainage_class,DIRECT,MODERATE,Moderately drained,0.8,,1-6 hr drainage => moderately drained
ADVM_013,TRUE,DRAINAGE_SIGNAL,drainage_class,DIRECT,GOOD,Well drained,0.85,,6-24 hr drainage => well drained
ADVM_014,TRUE,DRAINAGE_SIGNAL,drainage_class,DIRECT,EXCELLENT,Slow-to-moderate drained,0.85,,1-2 day drainage => excellent AWD holding (not “fast”)
ADVM_015,TRUE,DRAINAGE_SIGNAL,drainage_class,DIRECT,POOR,Poorly drained,0.8,,>2 day drainage => waterlogging risk / poorly drained
ADVM_016,TRUE,SOC_LEVEL,soc_initial,DIRECT,HIGH,High (>1.5%),0.95,,Measured SOC high
ADVM_017,TRUE,SOC_LEVEL,soc_initial,DIRECT,MEDIUM,Medium (0.75-1.5%),0.95,,Measured SOC medium
ADVM_018,TRUE,SOC_LEVEL,soc_initial,DIRECT,LOW,Low (<0.75%),0.95,,Measured SOC low
ADVM_019,TRUE,SOC_PROXY,soc_initial,PROXY,HIGH,Medium,0.6,,Color proxy tends to over/underestimate; map to medium with low confidence
ADVM_020,TRUE,SOC_PROXY,soc_initial,PROXY,MEDIUM,Medium,0.6,,Color proxy medium
ADVM_021,TRUE,SOC_PROXY,soc_initial,PROXY,LOW,Low,0.65,,Color proxy low
ADVM_022,TRUE,SOC_PROXY,soc_initial,PROXY,VERY_LOW,Very low,0.65,,Grey soil proxy very low SOC
ADVM_023,TRUE,SOC_PROXY,soc_initial,PROXY,LOW_OXIDIZED,Low,0.6,,Red/lateritic proxy low SOC (oxidized)
ADVM_024,TRUE,SLOPE_CLASS,field_slope,DIRECT,FLAT,Flat (<0.5%),0.9,,Flat field
ADVM_025,TRUE,SLOPE_CLASS,field_slope,DIRECT,GENTLE,Gentle (0.5-1%),0.9,,Gentle slope
ADVM_026,TRUE,SLOPE_CLASS,field_slope,DIRECT,MODERATE,Moderate (1-2%),0.9,,Moderate slope
ADVM_027,TRUE,SLOPE_CLASS,field_slope,DIRECT,STEEP,Steep (>2%),0.9,,Steep slope
ADVM_028,TRUE,WATERLOG_RISK,waterlogging_prone,DIRECT,NONE,No risk,0.85,,No waterlogging
ADVM_029,TRUE,WATERLOG_RISK,waterlogging_prone,DIRECT,LOW,Low (<10%),0.85,,Minor waterlogging
ADVM_030,TRUE,WATERLOG_RISK,waterlogging_prone,DIRECT,MODERATE,Moderate (10-25%),0.85,,Moderate waterlogging
ADVM_031,TRUE,WATERLOG_RISK,waterlogging_prone,DIRECT,HIGH,High (25-50%),0.85,,Significant waterlogging
ADVM_032,TRUE,WATERLOG_RISK,waterlogging_prone,DIRECT,SEVERE,Severe (>50%),0.85,,Major waterlogging
ADVM_033,TRUE,IRRIGATION_SOURCE,irrigation_source,DIRECT,OWN_TUBE_ELECTRIC,Own tubewell (electric),0.95,,Full control
