# PASTE THESE ROWS OVER THE MATCHING ROWS IN CPOS_Advanced_Inference_Rules (match by Inference_ID)
# ----------------------------------------------------------------
Inference_ID,Is_Active,Priority,Trigger_Signal,Trigger_Operator,Trigger_Value,Skip_Questions,Infer_Signal,Infer_Value,Confidence_0_1,Notes
ADVINF_076,TRUE,9,ERW_POST_APPLICATION_MOISTURE,EQUALS,POOR,,ERW_SITE_SUITABILITY,LOW,0.88,Poor post-application moisture - ERW benefit compromised
ADVINF_077,TRUE,8,ERW_POST_APPLICATION_MOISTURE,EQUALS,ADEQUATE,,ERW_SITE_SUITABILITY,MEDIUM,0.85,Adequate moisture for ERW weathering
ADVINF_080,TRUE,9,BIO_FEEDSTOCK_AVAILABILITY,EQUALS,NONE,"ADV_D10_002,ADV_D10_003",BIOCHAR_FEEDSTOCK_FEASIBILITY,NO,0.92,No feedstock available - skip residue-use/diversion details
ADVINF_081,TRUE,8,BIO_FEEDSTOCK_AVAILABILITY,EQUALS,LOW,,BIOCHAR_SCALE_EXPECTATION,LOW,0.85,Low feedstock availability limits biochar scale
ADVINF_082,TRUE,9,BIO_RESIDUE_DIVERT_WILLING,EQUALS,NO,,BIOCHAR_FEEDSTOCK_FEASIBILITY,NO,0.9,Unwilling to divert residues - biochar pathway constrained
ADVINF_089,TRUE,8,REGEN_TILLAGE_INTENSITY,EQUALS,DEEP_PLOUGH,,REGEN_TILLAGE_IMPROVEMENT_POTENTIAL,HIGH,0.9,Deep plough baseline - strong tillage reduction opportunity
ADVINF_090,TRUE,8,REGEN_TILLAGE_INTENSITY,EQUALS,MULTIPLE_TILL,,REGEN_TILLAGE_IMPROVEMENT_POTENTIAL,HIGH,0.88,Multiple tillage events - improvement potential high
ADVINF_091,TRUE,8,REGEN_TILLAGE_INTENSITY,EQUALS,ZERO_TILL,,REGEN_TILLAGE_IMPROVEMENT_POTENTIAL,LOW,0.9,Already low-disturbance baseline
ADVINF_092,TRUE,8,REGEN_RESIDUE_MANAGEMENT,EQUALS,BURN,,REGEN_RESIDUE_INTERVENTION_PRIORITY,HIGH,0.92,Burning residues - immediate intervention priority
ADVINF_093,TRUE,8,REGEN_RESIDUE_MANAGEMENT,EQUALS,REMOVE,,REGEN_RESIDUE_INTERVENTION_PRIORITY,MEDIUM_HIGH,0.86,Residue removal lowers carbon return to soil
ADVINF_094,TRUE,8,REGEN_RESIDUE_MANAGEMENT,EQUALS,FULL_RETAIN_MULCH,,REGEN_RESIDUE_INTERVENTION_PRIORITY,LOW,0.88,Already retaining residues well
ADVINF_095,TRUE,8,REGEN_ORGANIC_AMENDMENTS,EQUALS,NEVER,,REGEN_ORGANIC_INPUT_INTERVENTION_PRIORITY,HIGH,0.9,No FYM/compost applied - organic input intervention needed
